,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
42,CA,"38.6866603948, -121.90161702","{""coordinates"":[[[-122.164944,38.642462],[-122.163981,38.642832],[-122.163841,38.642881],[-122.162989,38.643184],[-122.162501,38.64356],[-122.162429,38.643616],[-122.162301,38.64384],[-122.162333,38.6",6,113,277321,6113,Yolo,Yolo County,6,H1,G4020,472,40900,,A,"2,628,144,759","22,878,428",38.6795955,-121.9024413,113
43,CA,"40.1257361849, -122.233884853","{""coordinates"":[[[-122.371476,40.372606],[-122.370459,40.372446],[-122.369561,40.372492],[-122.368425,40.372836],[-122.367019,40.373088],[-122.364925,40.374165],[-122.363848,40.374165],[-122.363399,40",6,103,1692767,6103,Tehama,Tehama County,6,H1,G4020,454,39780,,A,"7,638,228,749","33,767,783",40.1261573,-122.2322737,103
44,CA,"37.0216059108, -122.009787403","{""coordinates"":[[[-122.216684,37.215207],[-122.216511,37.215223],[-122.216483,37.215225],[-122.216401,37.215232],[-122.216374,37.215235],[-122.216278,37.215244],[-122.216147,37.215241],[-122.215466,37",6,87,277308,6087,Santa Cruz,Santa Cruz County,6,H1,G4020,488,42100,,A,"1,152,794,691","419,743,117",37.0124883,-122.007205,87
45,CA,"40.6735903894, -120.594332834","{""coordinates"":[[[-121.32191,40.654957],[-121.321809,40.666657],[-121.321808,40.66672],[-121.321808,40.666753],[-121.321584,40.686485],[-121.32161,40.689491],[-121.321608,40.68967],[-121.321471,40.705",6,35,1693324,6035,Lassen,Lassen County,6,H1,G4020,,45000,,A,"11,761,615,584","463,426,056",40.7210862,-120.6299518,35
46,CA,"37.9347459676, -121.271403235","{""coordinates"":[[[-121.207889,38.248817],[-121.207029,38.24882],[-121.203723,38.24876],[-121.203407,38.248754],[-121.203154,38.248866],[-121.202851,38.249084],[-121.202825,38.249102],[-121.202533,38.2",6,77,277303,6077,San Joaquin,San Joaquin County,6,H1,G4020,488,44700,,A,"3,606,127,799","89,109,687",37.9349815,-121.272244,77
47,CA,"33.0395904342, -115.365336962","{""coordinates"":[[[-114.726519,32.718274],[-114.726632,32.718267],[-114.726957,32.718245],[-114.727063,32.718238],[-114.727236,32.718227],[-114.727348,32.718219],[-114.728211,32.718162],[-114.728372,32",6,25,277277,6025,Imperial,Imperial County,6,H1,G4020,,20940,,A,"10,814,594,615","790,217,372",33.0408143,-115.3554001,25
48,CA,"39.0996453445, -122.753183909","{""coordinates"":[[[-123.065149,39.059183],[-123.065149,39.059204],[-123.065124,39.062801],[-123.065122,39.063132],[-123.065122,39.06317],[-123.065122,39.063193],[-123.065121,39.063339],[-123.065114,39.",6,33,277281,6033,Lake,Lake County,6,H1,G4020,,17340,,A,"3,254,349,190","188,851,723",39.0948019,-122.7467569,33
49,CA,"40.6506935615, -123.112627727","{""coordinates"":[[[-123.543956,40.732938],[-123.543857,40.732978],[-123.543371,40.73321],[-123.543015,40.733578],[-123.543102,40.734014],[-123.54341,40.73445],[-123.543894,40.734988],[-123.544204,40.73",6,105,277317,6105,Trinity,Trinity County,6,H1,G4020,,,,A,"8,234,265,082","73,407,950",40.6478033,-123.114476,105
50,CA,"39.301369579, -120.768752113","{""coordinates"":[[[-120.713744,39.482788],[-120.713697,39.482872],[-120.713675,39.482921],[-120.713682,39.483061],[-120.713782,39.483216],[-120.714338,39.483624],[-120.714453,39.483693],[-120.714514,39",6,57,1682927,6057,Nevada,Nevada County,6,H1,G4020,472,46020,,A,"2,480,587,338","41,531,993",39.2975082,-120.7713429,57
51,CA,"39.5984047698, -122.392206808","{""coordinates"":[[[-122.890937,39.644875],[-122.891338,39.659049],[-122.891338,39.659063],[-122.891338,39.659079],[-122.891339,39.659112],[-122.89134,39.659135],[-122.891544,39.666345],[-122.891719,39.",6,21,277275,6021,Glenn,Glenn County,6,H1,G4020,,,,A,"3,403,160,291","33,693,350",39.6025462,-122.4016998,21
52,CA,"39.0634313879, -120.717645936","{""coordinates"":[[[-121.065436,39.006533],[-121.065368,39.006545],[-121.065215,39.006626],[-121.065016,39.006775],[-121.06467,39.007447],[-121.064635,39.007512],[-121.064599,39.007577],[-121.06356,39.0",6,61,277295,6061,Placer,Placer County,6,H1,G4020,472,40900,,A,"3,644,306,246","246,466,620",39.0620323,-120.7227181,61
53,CA,"34.1979978627, -118.26101385","{""coordinates"":[[[[-118.703392,34.168591],[-118.703367,34.16859],[-118.703254,34.16859],[-118.702619,34.168588],[-118.696873,34.168574],[-118.69532,34.16857],[-118.694821,34.168569],[-118.694721,34.16",6,37,277283,6037,Los Angeles,Los Angeles County,6,H1,G4020,348,31080,31084,A,"10,511,861,492","1,793,485,467",34.1963983,-118.2618616,37
54,CA,"41.744942366, -123.957801356","{""coordinates"":[[[-124.316113,41.72839],[-124.330609,41.733793],[-124.345376,41.744586],[-124.352289,41.749781],[-124.352368,41.749841],[-124.355988,41.752235],[-124.361038,41.755954],[-124.365508,41.",6,15,1682074,6015,Del Norte,Del Norte County,6,H1,G4020,,18860,,A,"2,606,117,982","578,742,642",41.763958,-124.003614,15
55,CA,"38.5064964441, -122.330538465","{""coordinates"":[[[-122.46389,38.705203],[-122.463882,38.705214],[-122.463743,38.705396],[-122.455784,38.715785],[-122.449046,38.724581],[-122.446197,38.728299],[-122.445598,38.729081],[-122.445,38.729",6,55,277292,6055,Napa,Napa County,6,H1,G4020,488,34900,,A,"1,937,986,794","104,295,181",38.5070999,-122.3259045,55
56,CA,"38.2669127871, -121.940024418","{""coordinates"":[[[-122.064779,38.315912],[-122.065079,38.317112],[-122.068179,38.318412],[-122.066279,38.321012],[-122.065379,38.323112],[-122.065271,38.323204],[-122.063379,38.324811],[-122.062079,38",6,95,277312,6095,Solano,Solano County,6,H1,G4020,488,46700,,A,"2,128,488,719","218,671,901",38.2672255,-121.939594,95
57,CA,"39.6669293633, -121.600671735","{""coordinates"":[[[-121.856498,39.533582],[-121.856381,39.534519],[-121.856453,39.534604],[-121.856506,39.534697],[-121.856531,39.534763],[-121.85655,39.534896],[-121.856539,39.535079],[-121.856541,39.",6,7,1675842,6007,Butte,Butte County,6,H1,G4020,,17020,,A,"4,238,488,156","105,261,063",39.6659588,-121.6019188,7
58,CA,"37.5591374435, -120.997682895","{""coordinates"":[[[-120.922246,37.737475],[-120.921586,37.737641],[-120.921286,37.737797],[-120.920993,37.737947],[-120.920742,37.738129],[-120.920674,37.73821],[-120.920599,37.738329],[-120.92058,37.7",6,99,277314,6099,Stanislaus,Stanislaus County,6,H1,G4020,488,33700,,A,"3,874,667,416","46,351,766",37.5623162,-121.0028311,99
