death_rate,county,test,cumulative_cases,land_area_sq_mi,location,unemployment,vaccinated,labor_rate,hospital_bed,icu_bed
0.2000581649704872,San Luis Obispo,392.9427458743034,63962,3298.56,costal,5.25,66.27256492458635,48.518622114163996,0.1886237637254269,0.34712510130458796
0.10614383529070014,San Mateo,578.6813898696788,172573,448.41,costal,4.57,85.66659940025784,55.42409328522714,0.14383014931857416,0.009254486819425681
0.17105247242935057,Santa Barbara,378.4928118008734,107184,2735.08,costal,5.78,69.31303999141053,47.767944203535265,0.17376137501561223,0.021692782000688034
0.14000708990971167,Santa Clara,561.2092489015722,442182,1290.1,costal,4.7,85.45252174620155,51.51492819878175,2.793576897567322,0.012146870402041082
0.1107302946361118,Santa Cruz,597.0441497961671,64814,445.17,costal,6.9,77.17071960116643,48.68630907412071,0.14489103974832024,0.013503698918609192
0.3449726008149501,Shasta,311.85724322045803,35452,3775.4,inland,6.87,47.77068989742869,40.91611634115498,0.37712519319938176,0.10734860193901925
0.17051364365971108,Sierra,182.08667736757624,308,953.21,inland,6.15,50.7223113964687,41.73354735152488,NA,NA
0.22612521612521613,Siskiyou,157.64173264173266,5385,6277.88,inland,8.09,49.24697424697425,37.67403767403768,0.17972517972517973,0.029575029575029572
0.11556999921216417,Solano,391.9593476719452,107446,821.76,costal,7.47,69.72842173976657,44.88413186120584,0.15914283463326243,0.01395594872314324
0.12214734994000015,Sonoma,379.4252901334493,108690,1575.85,costal,5.48,79.95783903935828,48.88577480328912,0.19107331255486562,0.01852344020552965
0.32744450945486686,Stanislaus,281.3689416560111,139741,1494.83,inland,8.35,53.731884766753865,42.59269468596113,0.2797424164551852,0.017784006131925312
0.23222852657758616,Sutter,252.61236725391737,24730,602.41,inland,9.07,56.08007792183229,42.74352936726337,0.09834794367688919,9.456533045854728e-4
0.3378439705547545,Tehama,219.937770357441,13857,2949.71,inland,7.19,43.25870835546786,38.6127343097822,0.16088639295742582,0.012142369279805722
0.16725625280814738,Trinity,128.2012880035944,1425,3179.25,inland,6.25,45.27482402276471,33.548000599071436,0.40437322150666466,0
0.3289361363931936,Tulare,297.8702497610559,123029,4824.21,inland,10.65,53.59943685580577,41.472019288927235,0.1899166637422253,0.008463677405903518
0.40922828599262673,Tuolumne,446.88735649748816,15885,2220.88,inland,7.29,55.76779813184084,38.28007105881454,1.2836431013734217,0.12607209031346106
0.1965735089070967,Ventura,405.1046793480364,211680,1843.13,costal,6.15,73.06340567600942,47.48184397013417,0.19548588268267142,0.007622424939636258
0.19245890202672486,Yolo,815.0725363576195,48228,1014.69,inland,5.84,71.78550346135269,47.4482585907733,0.08317979357100692,0.01162728297229129
0.17773868079202926,Yuba,251.19687224114014,19233,631.84,inland,8.44,50.09711186782696,38.84474713078572,0.5763652415184765,0.02522386177323748
